it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,24,24,4.862178956361732,0.0968096809680968,0.0
2,29,29,4.379296365667718,0.14783821478382148,0.0
3,29,24,3.941744620793904,0.0943683409436834,0.0
4,29,23,3.547867073616119,0.08486878838637632,0.0
5,29,26,3.19374783799478,0.09696969696969697,0.0
6,29,27,2.875334213501299,0.08708708708708708,0.0
7,29,23,2.588097707052775,0.08506113769271664,0.0
8,29,26,2.3299554080877725,0.10451977401129943,0.0
9,29,26,2.0976273390192675,0.09389671361502347,0.0
10,32,32,1.8919392633718082,0.1366120218579235,0.0
11,32,24,1.70299726482993,0.09742747673782157,0.0
12,32,30,1.5338887186834276,0.1557377049180328,0.0
13,32,24,1.3807517746103866,0.06923506420993858,0.0
14,32,24,1.2429285249446518,0.08049886621315193,0.0
15,32,29,1.1194694986857276,0.07046070460704607,0.0
16,32,28,1.0081436055994888,0.08952080042127436,0.0
17,32,23,0.9075370854706651,0.08333333333333333,0.0
18,32,26,0.8171647893466124,0.06557377049180328,0.0
19,32,27,0.7359288900649484,0.08465608465608465,0.0
20,32,29,0.6631698272939949,0.0943952802359882,0.0
21,32,27,0.5973334242175923,0.09081196581196581,0.0
22,32,28,0.5382211385781674,0.08373590982286634,0.0
23,32,29,0.4852328509558924,0.06793321819228555,0.0
24,32,26,0.4370909782833161,0.08677248677248678,0.0
25,32,27,0.39386246010798154,0.11264720942140297,0.0
26,32,27,0.35495679375018013,0.0947867298578199,0.0
27,32,27,0.31994169402815914,0.0823463056965595,0.0
28,32,25,0.28825558850546923,0.07659115426105717,0.0
29,32,31,0.2613400257117045,0.0974124809741248,0.0
30,32,30,0.23639720347702203,0.06977992485238863,0.0
31,32,29,0.2135913093648615,0.1431261770244821,0.0
32,34,34,0.19684081407506304,0.11250581125058112,0.0
33,34,26,0.1774533867743449,0.08101851851851852,0.0
34,34,26,0.16000470220369853,0.13071895424836602,0.0
35,34,30,0.14471894018522144,0.08018327605956473,0.0
36,34,23,0.13042024652597023,0.08538587848932677,0.0
37,34,29,0.11793410603040104,0.09017713365539452,0.0
38,34,24,0.10770474343383,0.1056644880174292,0.0
39,34,32,0.10764811517663074,0.1311796377875673,0.0
40,34,26,0.10664440799009837,0.0811111111111111,0.0
41,34,33,0.10767968807198709,0.09922480620155039,0.0
42,34,28,0.10693800450347915,0.11371935315597287,0.0
43,34,32,0.10723942584677179,0.12523540489642185,0.0
44,34,27,0.106543965777462,0.14285714285714285,0.0
45,34,24,0.10576508637137633,0.0814081408140814,0.0
46,34,27,0.10521689110723383,0.08496732026143791,0.0
47,34,26,0.10466645015311625,0.1187214611872146,0.0
48,34,25,0.10414806995926851,0.10662177328843996,0.0
49,34,30,0.10416096341231924,0.12280701754385964,0.0
50,34,24,0.10365878227853143,0.0963327859879584,0.0
51,34,30,0.10371090747571014,0.11351611351611351,0.0
52,34,26,0.1033445799046581,0.09433962264150944,0.0
53,34,33,0.10488271191759613,0.14272809394760613,0.0
54,34,29,0.1046535814255217,0.10457516339869281,0.0
55,34,29,0.104465322492794,0.08181315644002211,0.0
56,34,32,0.10509939332003682,0.150997150997151,0.0
57,34,30,0.10503151769563178,0.0980980980980981,0.0
58,34,28,0.10468921808230792,0.09460946094609461,0.0
59,34,23,0.10411058109582357,0.08666666666666667,0.0
60,34,26,0.10372837145869564,0.09523809523809523,0.0
61,34,27,0.1034441180026658,0.09888357256778309,0.0
62,34,30,0.10354289567735656,0.1145374449339207,0.0
63,34,25,0.10315475031076973,0.10060807075732449,0.0
64,34,29,0.10311132374096944,0.1245640259093174,0.0
65,34,32,0.10387391254993598,0.13023255813953488,0.0
66,34,28,0.1036458493111449,0.12368972746331237,0.0
67,34,23,0.10316567237612924,0.07977207977207977,0.0
68,34,22,0.10273156591613396,0.08798646362098139,0.0
69,34,26,0.10249869761369672,0.12130971551261406,0.0
70,34,28,0.10244113164353687,0.09378185524974515,0.0
71,34,27,0.1023276595656934,0.1078107810781078,0.0
72,34,26,0.1021497678504254,0.08496732026143791,0.0
73,34,33,0.10386045758916482,0.1116584564860427,0.0
74,34,33,0.10541516491344094,0.10348583877995643,0.0
75,34,25,0.10489493605886206,0.08496732026143791,0.0
76,34,34,0.1087850830792288,0.08071278825995808,0.0
77,38,38,0.1134516943247082,0.1915388191538819,0.0
78,38,37,0.11460436377282296,0.1889763779527559,0.0
79,38,32,0.11350202472242318,0.13924654268001907,0.0
80,38,33,0.1126861509145312,0.12267471091000502,0.0
81,38,33,0.1119356662971275,0.09268035808320169,0.0
82,38,31,0.11101167214441564,0.1365953109072375,0.0
83,38,35,0.11091461223035,0.15434681543468154,0.0
84,38,37,0.1123342538989184,0.18025751072961374,0.0
85,38,26,0.11107360380097517,0.08538587848932677,0.0
86,38,29,0.11004960262347527,0.11425576519916142,0.0
87,38,27,0.109021202656926,0.11162790697674418,0.0
88,38,32,0.10842177186121309,0.1388888888888889,0.0
89,38,29,0.10762506443531147,0.09285341679707877,0.0
90,38,33,0.10728810723862843,0.10558069381598793,0.0
91,38,26,0.10650384502080962,0.136986301369863,0.0
92,38,37,0.10833475202343375,0.1668971876440756,0.0
93,38,37,0.10998025549477972,0.1565217391304348,0.0
94,38,26,0.10893455286145212,0.07085346215780998,0.0
95,38,36,0.10950165143710003,0.16546416546416545,0.0
96,38,34,0.10922868739597501,0.14070839398350315,0.0
97,38,26,0.1082841132947407,0.07944732297063903,0.0
98,38,29,0.10755805283514573,0.09053497942386832,0.0
99,38,28,0.10684641065037659,0.09876543209876543,0.0
