it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,29,29,4.8648726669295534,0.09631457454429675,0.0
2,30,30,4.381835140641432,0.08298933608531132,0.0
3,30,28,3.944686721214514,0.0893157262905162,0.0
4,30,29,3.551885701564145,0.09014726222439183,0.0
5,30,29,3.198364783878812,0.09021255561047949,0.0
6,33,33,2.882865844923107,0.09941335024575867,0.0
7,33,27,2.59499118584765,0.08762169680111266,0.0
8,33,27,2.335903992679742,0.09254349627174814,0.0
9,33,30,2.1032069786641325,0.10957767722473605,0.0
10,33,31,1.8941596115022399,0.09356120826709062,0.0
11,33,32,1.706780979479252,0.10898312813497492,0.0
12,33,29,1.5367699425197612,0.09593742517359725,0.0
13,33,31,1.3843662789723048,0.08268434134217068,0.0
14,35,35,1.2508175979730782,0.09637709388391118,0.0
15,35,30,1.1263314283440138,0.11078804145232238,0.0
16,35,33,1.0151441319870036,0.09633649932157395,0.0
17,35,31,0.9143937172110164,0.09489534210308596,0.0
18,35,27,0.8232747319252463,0.09406969309462916,0.0
19,35,29,0.741423730867317,0.10268661392652934,0.0
20,35,31,0.6680453562032984,0.0927632097015513,0.0
21,35,28,0.6016289810719273,0.09327846364883402,0.0
22,35,30,0.5420616731329789,0.0975609756097561,0.0
23,35,28,0.48824366630864,0.10693084573278853,0.0
24,35,33,0.4408651461551681,0.10714557491819496,0.0
25,35,29,0.39725510367424643,0.09301571868416789,0.0
26,35,29,0.3580060654414166,0.09217877094972067,0.0
27,35,30,0.3228010490655192,0.09803921568627451,0.0
28,35,28,0.29090910464792613,0.09739102252471236,0.0
29,35,30,0.2624137843513775,0.09582800511508952,0.0
30,35,29,0.23664887805083473,0.09505311558585698,0.0
31,35,33,0.21442983672314386,0.1109523093124718,0.0
32,35,29,0.1934633251854245,0.09504772782899568,0.0
33,35,29,0.17459346480147703,0.10409736308316431,0.0
34,35,30,0.15772970848957343,0.10918877354863514,0.0
35,35,29,0.14243320977521143,0.10934256055363321,0.0
36,38,38,0.13396505967045552,0.09279778393351801,0.0
37,38,32,0.12115064773976285,0.13184841916436205,0.0
38,38,37,0.11312538337275242,0.13769388352355869,0.0
39,40,40,0.11750314063159645,0.13463553360275407,0.0
40,40,37,0.11651011389721636,0.1820265296201125,0.0
41,40,36,0.11538780146254687,0.14815627743634768,0.0
42,40,36,0.11443636130753304,0.15205327413984462,0.0
43,40,34,0.11323585171692976,0.1411314525810324,0.0
44,40,40,0.11794628916135351,0.15403422982885084,0.0
45,40,35,0.1166287007624711,0.1669922581578757,0.0
46,40,38,0.11658738262484765,0.17474048442906576,0.0
47,40,34,0.11529888153969345,0.14956736711990112,0.0
48,41,41,0.12022887947377082,0.19017572426894633,0.0
49,41,37,0.11903688343822895,0.16838850235434677,0.0
50,42,42,0.12394693565063412,0.16267159826445693,0.0
51,42,41,0.12466145099815584,0.20570995103785947,0.0
52,42,35,0.12255930126476278,0.16345524612811752,0.0
53,42,41,0.12343343599510975,0.14119123182522694,0.0
54,42,38,0.12201172397470998,0.1473559120617944,0.0
55,43,43,0.12700062258321793,0.1872991476875786,0.0
56,43,40,0.12568882516241914,0.17311128582660282,0.0
57,43,39,0.12413071749634651,0.1774463339838305,0.0
58,43,37,0.12228255708740068,0.15569620253164557,0.0
59,43,40,0.12143632730471868,0.17275842375785266,0.0
60,43,37,0.11985999052447112,0.17011317591169484,0.0
61,43,38,0.1186262545381733,0.17757396041652299,0.0
62,43,39,0.11776625737660996,0.13851276359600445,0.0
63,43,39,0.11699256454114748,0.16916199531682397,0.0
64,43,41,0.11730801012272979,0.1897598488936859,0.0
65,43,41,0.11759371341902165,0.13270707522552747,0.0
66,43,37,0.11639190899311037,0.15336134453781514,0.0
67,43,40,0.11612963404317088,0.17583580194667794,0.0
68,43,35,0.11484361402906627,0.1492109038737446,0.0
69,43,35,0.11368816865736149,0.19935008952848332,0.0
70,43,39,0.11331670550638498,0.20264405421646525,0.0
71,43,33,0.11215986558343874,0.1186532507739938,0.0
72,43,36,0.11136748965293086,0.14364766525166767,0.0
73,43,42,0.11354410687363276,0.13649784238019533,0.0
74,43,29,0.11220266214126384,0.14213778896772716,0.0
75,43,43,0.11819173080723668,0.16136252360635098,0.0
76,43,37,0.11695440833074575,0.15463016889924286,0.0
77,43,35,0.11560628710114841,0.15266453115899825,0.0
78,43,39,0.11507610148767845,0.14462964347111143,0.0
79,43,43,0.12079504174424723,0.14194213354928956,0.0
80,43,40,0.12014711205649647,0.18095238095238095,0.0
81,43,36,0.11861596855970956,0.18816806722689075,0.0
82,43,41,0.11883289974355783,0.16219096334185848,0.0
83,43,38,0.11774008756447357,0.16295306001188353,0.0
84,43,33,0.11618223060774883,0.15182631656153733,0.0
85,43,43,0.12180432182856991,0.17452183327318657,0.0
86,43,38,0.12041381694655688,0.13577602692572477,0.0
87,43,41,0.12044696137876419,0.1573474878208391,0.0
88,43,42,0.12176144092088263,0.19860418743768693,0.0
89,43,36,0.12006252501157548,0.15625456137790103,0.0
90,43,39,0.11910821097791147,0.16526610644257703,0.0
91,43,43,0.1244569670250044,0.20749395648670427,0.0
92,43,39,0.1230741214682005,0.23025399562305193,0.0
93,43,42,0.12415243067564201,0.1670785961443401,0.0
94,43,30,0.12184768188050447,0.13650769111849734,0.0
95,43,39,0.12071923069289582,0.17959647627166808,0.0
96,43,37,0.11926532000502954,0.13863397021212578,0.0
97,43,42,0.12070157707317314,0.18450133845837052,0.0
98,43,41,0.1207039657248601,0.19197184051986732,0.0
99,43,35,0.11899435452986629,0.1673187089562666,0.0
