it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,25,25,4.862508379337545,0.08187474559516195,0.0
2,26,26,4.3766389538268005,0.09725344005262869,0.0
3,28,28,3.9395961152264576,0.0835565688230265,0.0
4,30,30,3.5468276840403,0.09412274994578182,0.0
5,30,28,3.192765972418602,0.08940379255697033,0.0
6,30,28,2.874110431959077,0.09101718733109934,0.0
7,30,30,2.5878905690996548,0.0880503144654088,0.0
8,30,28,2.3297225689720267,0.08191843164712061,0.0
9,30,28,2.0973713688571576,0.09580431459147273,0.0
10,30,29,1.888468058206981,0.08186874304783093,0.0
11,33,33,1.7039587918184607,0.10434052380202592,0.0
12,33,29,1.5342299736250502,0.09433962264150944,0.0
13,33,28,1.3813245235811547,0.0991244189817317,0.0
14,33,29,1.243859132211474,0.0935344827586207,0.0
15,33,28,1.119990766308938,0.08405521712401498,0.0
16,33,25,1.0082655242381557,0.08917197452229299,0.0
17,33,28,0.9079565191329529,0.08928269089677747,0.0
18,33,30,0.818054252472023,0.08501482816770367,0.0
19,33,30,0.7371422124771873,0.0895555432556595,0.0
20,33,29,0.6640950522179014,0.09000393767227316,0.0
21,33,25,0.5979593815562237,0.09268614100593016,0.0
22,33,28,0.5386809907192134,0.11011032350903374,0.0
23,33,28,0.48533043896590433,0.09404388714733543,0.0
24,33,30,0.4376907803216796,0.09907120743034056,0.0
25,33,26,0.39425543815964803,0.08658614855009043,0.0
26,33,29,0.3554969553321168,0.09466285965297606,0.0
27,33,28,0.3204648071175172,0.09972478549457665,0.0
28,33,25,0.2886921609658774,0.08822212270488132,0.0
29,33,26,0.2601566807394263,0.08150470219435736,0.0
30,33,26,0.23447474853562028,0.09117076895964284,0.0
31,33,30,0.21192065893442466,0.09391285064863067,0.0
32,33,26,0.19106232891111855,0.11128284389489954,0.0
33,33,27,0.17236802143686097,0.08366118953945846,0.0
34,33,30,0.15602460454554093,0.08348457350272233,0.0
35,33,31,0.1416954747955086,0.09517671071006553,0.0
36,33,30,0.12841931256832356,0.1080106100795756,0.0
37,33,30,0.11647076656385717,0.10078756917837378,0.0
38,33,29,0.10684109193029118,0.11102282959902537,0.0
39,33,30,0.10634710220475495,0.10461538461538461,0.0
40,33,30,0.10605237026039971,0.09537319947621126,0.0
41,34,34,0.10956474398288103,0.09887567916509764,0.0
42,34,30,0.1088834688444342,0.134394341290893,0.0
43,39,39,0.11370056724454464,0.13193830435209747,0.0
44,39,34,0.1127437503426322,0.1512979465323518,0.0
45,39,36,0.1124232531096817,0.16717164430337134,0.0
46,39,34,0.11160602363035596,0.1373313343328336,0.0
47,39,35,0.11107990847021562,0.14810293968060217,0.0
48,39,38,0.11252541076048232,0.17495067180306303,0.0
49,39,35,0.11191961874147972,0.13104460985366348,0.0
50,39,32,0.11093757267231023,0.14937595579892457,0.0
51,39,30,0.10992337823127457,0.11892063156783017,0.0
52,39,30,0.10902579061920409,0.12436072712542408,0.0
53,39,37,0.10970079959721973,0.15247992442135097,0.0
54,39,38,0.11137203815495143,0.12694991789819376,0.0
55,39,30,0.11033643351342168,0.16162589096513197,0.0
56,39,32,0.10955595365343526,0.12388638507493974,0.0
57,39,27,0.10855327354710678,0.10727969348659004,0.0
58,39,34,0.10820405892939228,0.1412583182093164,0.0
59,39,35,0.10809667106446975,0.13204625232294032,0.0
60,39,34,0.10779470214467961,0.11525600835945664,0.0
61,39,28,0.10700351657469401,0.11356533714709466,0.0
62,39,30,0.10638597065155253,0.14971054618676063,0.0
63,39,35,0.10645553346507632,0.11539670894036265,0.0
64,39,33,0.1061698474106615,0.10955914447839371,0.0
65,39,29,0.1055935626355529,0.11071063532196461,0.0
66,39,29,0.10506290890007877,0.09878844361602983,0.0
67,39,29,0.10457352779035498,0.11607427055702918,0.0
68,39,30,0.1041935875185728,0.0928,0.0
69,39,34,0.10425263011168616,0.10940065681444992,0.0
70,39,32,0.10404921300976122,0.10280172413793104,0.0
71,39,29,0.103648400540154,0.12222811671087533,0.0
72,39,33,0.10361173093396413,0.09824022805767228,0.0
73,39,30,0.10332281381199947,0.10138798525265669,0.0
74,39,28,0.10297593948616947,0.0795035419471928,0.0
75,39,35,0.10338453172950623,0.09997407311381903,0.0
76,39,29,0.10305744740774563,0.09720425268605501,0.0
77,39,29,0.1027519720106932,0.08262205530897918,0.0
78,39,29,0.1024807882387644,0.09078449646400964,0.0
79,39,29,0.10225830875560447,0.10511592877508204,0.0
80,39,31,0.10218236941399397,0.10513550564167458,0.0
81,39,30,0.10207205936433188,0.08737811189192134,0.0
82,39,33,0.10222440682998915,0.09849171241272718,0.0
83,39,32,0.10224733304076103,0.09552505300747684,0.0
84,39,29,0.10207077545626028,0.11245728487107798,0.0
85,39,27,0.1018303784163572,0.08136513934813415,0.0
86,39,28,0.10168061614842694,0.09065350852028228,0.0
87,39,32,0.10179701710736122,0.0960591133004926,0.0
88,39,30,0.10175211969079713,0.10286740243966837,0.0
89,39,27,0.10157838946780537,0.0901266377939806,0.0
90,39,28,0.10144262576740737,0.09422800191866972,0.0
91,39,36,0.10238105162305607,0.1014135789248233,0.0
92,39,29,0.10224266781748809,0.09334504722161212,0.0
93,39,28,0.10206921663502656,0.11074070215647464,0.0
94,39,34,0.10240356510641893,0.11694611409891384,0.0
95,39,31,0.10237724482782025,0.09625780716947463,0.0
96,39,25,0.1021142118338117,0.08233638282899367,0.0
97,39,26,0.10190051752513953,0.11142991288017111,0.0
98,39,33,0.10211996588546798,0.09680873848789891,0.0
99,39,31,0.10211752831602582,0.09919114516815666,0.0
100,39,29,0.10198651729400489,0.09405359239884702,0.0
101,39,36,0.10284219259055548,0.12132633830795089,0.0
102,39,26,0.10249931660331192,0.09191615065613816,0.0
103,39,38,0.10490592499299639,0.1056376573617953,0.0
104,39,29,0.1044794687533023,0.10971308239010266,0.0
105,39,33,0.10439438991924278,0.11023790430366212,0.0
106,39,25,0.1038441241675936,0.08878064980350917,0.0
107,39,32,0.10373210366572225,0.10587366867025202,0.0
108,39,31,0.10355943032294683,0.12465646875810216,0.0
109,39,33,0.10358547194335786,0.12030075187969924,0.0
110,39,30,0.10333166304941088,0.11065830721003135,0.0
111,39,32,0.10326022045566068,0.09504862953138815,0.0
112,39,32,0.10319159787695341,0.11736601578728707,0.0
113,39,29,0.10291123164526314,0.11017268276937973,0.0
114,39,27,0.10258959280071764,0.10659276235143633,0.0
115,39,26,0.10226447768664754,0.0901685079790202,0.0
116,39,37,0.10361415943312535,0.10494288459485428,0.0
117,39,34,0.10376028645768784,0.10381905821282907,0.0
118,39,26,0.10332017316727837,0.10361326513776604,0.0
119,39,29,0.10302941060039651,0.10595809690091663,0.0
120,39,29,0.10278915167476887,0.09929706093983506,0.0
121,39,30,0.10266573338451464,0.09980993755090958,0.0
122,39,32,0.10269275373281608,0.10124953075561753,0.0
123,39,30,0.10254610939874126,0.11585784443153614,0.0
124,39,28,0.10232288728450485,0.10520705644086767,0.0
125,39,28,0.10210767241884003,0.1108633653098263,0.0
126,39,30,0.1020078977487454,0.09982429167581815,0.0
127,39,31,0.10198503824976307,0.10484095593560247,0.0
128,39,31,0.10196108529339788,0.09072592251453572,0.0
129,39,29,0.1018100094920057,0.08305402488212237,0.0
130,39,27,0.10159809930607333,0.11241168406622377,0.0
131,39,28,0.10148076371883777,0.11004911020753023,0.0
132,39,27,0.10134227539611546,0.0948140103176758,0.0
133,39,27,0.10121198820809617,0.09373091232161697,0.0
134,39,31,0.10129453241059429,0.09415015142659795,0.0
135,39,27,0.1011660222709094,0.09610678531701891,0.0
136,39,29,0.10116070141407614,0.08733378408834798,0.0
137,39,30,0.10120723817332368,0.10473686923354467,0.0
138,39,31,0.10132196160339561,0.105941005400914,0.0
139,39,29,0.10130572283518037,0.09064997485050019,0.0
140,39,30,0.10133275691809482,0.09956828241980437,0.0
141,39,32,0.10150017308961996,0.0870306197807192,0.0
142,39,27,0.10136237995447697,0.0922824302134647,0.0
143,39,27,0.10124668107929691,0.09243142007271125,0.0
144,39,32,0.1014258479261974,0.09060175794455713,0.0
145,39,31,0.1014928719404194,0.08660521224536247,0.0
146,39,27,0.10136768233645134,0.09718381398498786,0.0
147,39,27,0.1012522052040165,0.1013617395124094,0.0
148,39,28,0.10119059410923077,0.09837728194726167,0.0
149,39,30,0.10123811367365852,0.10355536517455557,0.0
