it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,15,15,4.860564911892039,0.021086780210867802,0.0
2,15,15,4.374761258506185,0.012789768185451638,0.0
3,17,17,3.9379401029651815,0.012698412698412698,0.0
4,17,15,3.5443146512042305,0.01598721023181455,0.0
5,17,15,3.190051744619371,0.01610305958132045,0.0
6,17,15,2.8712151286930028,0.01670843776106934,0.0
7,17,15,2.5842621743592615,0.01610305958132045,0.0
8,17,15,2.3260045154589073,0.008291873963515755,0.0
9,17,15,2.0935726224485744,0.011272141706924315,0.0
10,17,15,1.8843839187392812,0.006633499170812604,0.0
11,17,16,1.6962344843548864,0.011272141706924315,0.0
12,17,17,1.5272660062290175,0.01810699588477366,0.0
13,17,14,1.3746489686542336,0.014925373134328358,0.0
14,17,17,1.2378390420984253,0.018648018648018648,0.0
15,17,15,1.1142236964241465,0.017713365539452495,0.0
16,17,15,1.0029698853172957,0.01990049751243781,0.0
17,17,16,0.9029618542751036,0.01288244766505636,0.0
18,17,14,0.8127752318957104,0.00980392156862745,0.0
19,17,16,0.7317866661956764,0.022222222222222223,0.0
20,17,15,0.6587765581116715,0.0196078431372549,0.0
21,17,16,0.593187859790042,0.016975308641975308,0.0
22,17,15,0.5340376323466015,0.014705882352941176,0.0
23,17,15,0.480802427647505,0.02238209432454037,0.0
24,17,16,0.433011142372292,0.008169934640522876,0.0
25,17,15,0.38987858667062614,0.019753086419753086,0.0
26,17,16,0.351179685493101,0.025039123630672927,0.0
27,17,17,0.31671668725340857,0.012789768185451638,0.0
28,17,15,0.285213577063631,0.020783373301358914,0.0
29,17,15,0.25686077789283146,0.00966183574879227,0.0
30,17,16,0.23146365759308582,0.01646090534979424,0.0
31,17,16,0.20860624932331415,0.02254428341384863,0.0
32,17,15,0.18791418292654677,0.019464720194647202,0.0
33,17,15,0.16929132316945544,0.02877697841726619,0.0
34,17,15,0.15253074938807326,0.014184397163120567,0.0
35,17,15,0.13744623298482941,0.011522633744855968,0.0
36,17,15,0.12387016822190962,0.03594771241830065,0.0
37,17,15,0.11165170993528237,0.011522633744855968,0.0
38,17,16,0.10220694766809474,0.017713365539452495,0.0
39,17,15,0.10195372855331405,0.014492753623188406,0.0
40,17,15,0.10176422949801499,0.014492753623188406,0.0
41,17,15,0.10161281270742273,0.017713365539452495,0.0
42,17,16,0.10160110477484781,0.017214397496087636,0.0
43,17,16,0.10160074267901496,0.016339869281045753,0.0
44,17,16,0.10161677900013229,0.02206461780929866,0.0
45,17,14,0.10145673161849568,0.012248468941382326,0.0
46,17,16,0.10149757521062208,0.019464720194647202,0.0
47,17,15,0.10141818312514629,0.012698412698412698,0.0
48,17,16,0.10146567945780387,0.017214397496087636,0.0
49,17,15,0.10139092461264668,0.02172096908939014,0.0
50,17,17,0.10182015586864618,0.01564945226917058,0.0
51,17,16,0.10184349547746471,0.017973856209150325,0.0
52,17,16,0.10186879433288858,0.021086780210867802,0.0
53,17,16,0.10188960578136677,0.021604938271604937,0.0
54,17,15,0.10178683469495008,0.014492753623188406,0.0
55,17,17,0.10218062480096428,0.026984126984126985,0.0
56,17,15,0.10205211326414718,0.009592326139088728,0.0
57,17,15,0.10193203654249249,0.014388489208633094,0.0
58,17,15,0.10182290275115397,0.014814814814814815,0.0
59,17,15,0.10171997212367222,0.01288244766505636,0.0
60,17,15,0.10162779986807896,0.021086780210867802,0.0
61,17,15,0.1015462699751598,0.029197080291970802,0.0
62,17,15,0.10147815708429472,0.01746031746031746,0.0
63,17,15,0.10141241641178148,0.014285714285714285,0.0
64,17,14,0.10129960481554083,0.028404344193817876,0.0
65,17,15,0.10125271961222872,0.01288244766505636,0.0
66,17,15,0.10121080316977654,0.01658374792703151,0.0
67,17,15,0.10116839376974604,0.01288244766505636,0.0
68,17,15,0.10112590118270505,0.01746031746031746,0.0
69,17,15,0.10109278971894554,0.03357314148681055,0.0
70,17,16,0.10118459943843433,0.0322061191626409,0.0
71,17,16,0.10127219848944333,0.014184397163120567,0.0
72,17,17,0.10171627162318624,0.007880220646178092,0.0
73,17,16,0.10175035191901088,0.018912529550827423,0.0
74,17,17,0.10215108451172,0.023809523809523808,0.0
75,17,16,0.10214419056266483,0.01810699588477366,0.0
76,17,15,0.10201730330921054,0.01316872427983539,0.0
77,17,16,0.10202743658606808,0.017214397496087636,0.0
78,17,16,0.10203700939953901,0.020634920634920634,0.0
79,17,15,0.1019249403700886,0.011111111111111112,0.0
80,17,16,0.101944314143408,0.01746031746031746,0.0
81,17,15,0.10184050618459341,0.021241830065359478,0.0
82,17,16,0.10186750365284301,0.014184397163120567,0.0
83,17,15,0.10177091875439245,0.014925373134328358,0.0
84,17,14,0.10162455269200735,0.013570822731128074,0.0
85,17,16,0.10166783515535713,0.012698412698412698,0.0
86,17,17,0.10206707120224341,0.03015873015873016,0.0
87,17,15,0.10193625231653147,0.019464720194647202,0.0
88,17,15,0.10181931248365704,0.011272141706924315,0.0
89,17,15,0.10171426228040986,0.021241830065359478,0.0
90,17,15,0.10161516431643232,0.02364066193853428,0.0
91,17,15,0.10153124858907375,0.024691358024691357,0.0
92,17,15,0.10145074837920348,0.032679738562091505,0.0
93,17,15,0.10137965484946442,0.01598721023181455,0.0
94,17,14,0.10125620163606634,0.01670843776106934,0.0
95,17,15,0.10120733616395673,0.0196078431372549,0.0
96,17,16,0.10129361160841115,0.009732360097323601,0.0
97,17,15,0.10125110520004107,0.03467297084318361,0.0
98,17,15,0.10122298998579658,0.020783373301358914,0.0
99,17,16,0.10131355633784267,0.017214397496087636,0.0
