it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,15,15,4.86056491189204,0.01583820662768031,0.0
2,15,15,4.374761258506185,0.018410852713178296,0.0
3,18,18,3.9380219742538856,0.01777137367915466,0.0
4,18,15,3.544346195730171,0.021449704142011833,0.0
5,18,16,3.1901042144835126,0.01618357487922705,0.0
6,18,16,2.8712864313615234,0.017822736030828516,0.0
7,18,16,2.5843504265517274,0.01939655172413793,0.0
8,18,16,2.3261080222229213,0.017684108527131783,0.0
9,18,17,2.0938247051554324,0.019230769230769232,0.0
10,18,16,1.884634872966247,0.01878612716763006,0.0
11,18,16,1.6963640239959783,0.017380952380952382,0.0
12,18,16,1.5269202599227387,0.019412878787878788,0.0
13,18,17,1.374555719085275,0.01749271137026239,0.0
14,18,16,1.2372927855031046,0.01775568181818182,0.0
15,18,15,1.1136899258544666,0.013725490196078431,0.0
16,18,16,1.0025135715953781,0.0217911877394636,0.0
17,18,16,0.9024548527621991,0.01884057971014493,0.0
18,18,17,0.8125368526407898,0.01681075888568684,0.0
19,18,16,0.7314758057030682,0.016377649325626204,0.0
20,18,15,0.6584546440344335,0.01799802761341223,0.0
21,18,16,0.5928018179573488,0.019248826291079813,0.0
22,18,15,0.5336480550632859,0.021739130434782608,0.0
23,18,16,0.4804758878833159,0.017453294001966567,0.0
24,18,16,0.43262093742134267,0.017094017094017096,0.0
25,18,17,0.3896863288340168,0.015406162464985995,0.0
26,18,16,0.35091033427697393,0.017469310670443813,0.0
27,18,16,0.31601193917563436,0.016619183285849954,0.0
28,18,17,0.2847382304128798,0.014367816091954023,0.0
29,18,17,0.25659189252640136,0.018653100775193797,0.0
30,18,17,0.23126018842856966,0.016569200779727095,0.0
31,18,17,0.20846165474052192,0.017391304347826087,0.0
32,18,15,0.18774190816814243,0.016472868217054265,0.0
33,18,17,0.16929520250613705,0.019285714285714285,0.0
34,18,16,0.15255832058188162,0.01935788479697828,0.0
35,18,15,0.13742890742536595,0.017282196969696968,0.0
36,18,16,0.12387865500918736,0.018304431599229287,0.0
37,18,17,0.11181827466307782,0.017568850902184234,0.0
38,18,17,0.10239244996951334,0.015549076773566569,0.0
39,18,16,0.10212506093028514,0.014846743295019157,0.0
40,18,15,0.10185693299259625,0.020149253731343283,0.0
41,18,15,0.10164844595996524,0.018031189083820662,0.0
42,18,15,0.10148048860457617,0.014128352490421455,0.0
43,18,16,0.10140526596010642,0.021312260536398467,0.0
44,18,16,0.1013446426596869,0.017632850241545893,0.0
45,18,15,0.10122587066671367,0.018304431599229287,0.0
46,18,16,0.10118748668061141,0.020413064361191162,0.0
47,18,16,0.10115658613578217,0.016034985422740525,0.0
48,18,16,0.10112728384506738,0.019193391642371233,0.0
49,18,15,0.10104340834792945,0.017300194931773878,0.0
50,18,16,0.1010441015471425,0.018126177024482108,0.0
51,18,15,0.10097969261634215,0.016121031746031748,0.0
52,18,16,0.1009920024501449,0.017050912584053793,0.0
53,18,16,0.10100269827632254,0.015520534861509073,0.0
54,18,17,0.10115109004979254,0.016856600189933523,0.0
55,18,16,0.1011530493922214,0.016277939747327504,0.0
56,18,17,0.10129164903999119,0.021373679154658983,0.0
57,18,17,0.10141095859901603,0.01932367149758454,0.0
58,18,16,0.10138703968198196,0.016224188790560472,0.0
59,18,16,0.10136511063159007,0.01606425702811245,0.0
60,18,15,0.10127420333227503,0.020413064361191162,0.0
61,18,16,0.10125963951613673,0.01618357487922705,0.0
62,18,15,0.10118465021025518,0.013640873015873016,0.0
63,18,16,0.10118371059329381,0.01714975845410628,0.0
64,18,16,0.10118199745496695,0.021137026239067054,0.0
65,18,16,0.10117991046068264,0.02346743295019157,0.0
66,18,16,0.10117279400926976,0.017705382436260624,0.0
67,18,16,0.10116667596067533,0.017050912584053793,0.0
68,18,16,0.1011608235618453,0.014091350826044704,0.0
69,18,16,0.10115034198788782,0.017518939393939392,0.0
70,18,16,0.1011404209079094,0.015238095238095238,0.0
71,18,16,0.10112583263654114,0.015285996055226824,0.0
72,18,16,0.10111456722893605,0.017199612403100775,0.0
73,18,16,0.1011091691425388,0.017632850241545893,0.0
74,18,17,0.1012459461038937,0.01618357487922705,0.0
75,18,16,0.1012392251940097,0.014514514514514515,0.0
76,18,15,0.10116644815025673,0.017926356589147287,0.0
77,18,16,0.10116264829617519,0.021137026239067054,0.0
78,18,16,0.10115923678061474,0.017531219980787705,0.0
79,18,15,0.1010898904792302,0.017011834319526627,0.0
80,18,17,0.10122918366535025,0.017380952380952382,0.0
81,18,16,0.10121914588967196,0.016294227188081937,0.0
82,18,16,0.10120986019896662,0.017714570858283433,0.0
83,18,16,0.10120135718856778,0.017944936086529008,0.0
84,18,15,0.10112751532102258,0.02040816326530612,0.0
85,18,17,0.10126281327682647,0.017480842911877393,0.0
86,18,16,0.10124905223810225,0.016325536062378167,0.0
87,18,16,0.1012364810740169,0.020956607495069033,0.0
88,18,17,0.10135987983852132,0.015792031098153546,0.0
89,18,16,0.10133457379831248,0.018115942028985508,0.0
90,18,16,0.10131144951487686,0.01642512077294686,0.0
91,18,16,0.10128601009741871,0.016034985422740525,0.0
92,18,16,0.10127387023903257,0.02089478859390364,0.0
93,18,16,0.1012625478067602,0.01875593542260209,0.0
94,18,16,0.10124657846792424,0.017453294001966567,0.0
95,18,15,0.10116086575784766,0.017568850902184234,0.0
96,18,16,0.10115137416113662,0.02131782945736434,0.0
97,18,15,0.10108127301508893,0.01805143422354105,0.0
98,18,16,0.10109082286113896,0.016570605187319884,0.0
99,18,16,0.10109377603096531,0.020413064361191162,0.0
