it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,26,26,4.862468536409049,0.08561643835616438,0.0
2,28,28,4.377774324723975,0.07880139532223938,0.0
3,31,31,3.9438168843651447,0.08811016569637259,0.0
4,31,28,3.5502115169065482,0.10196742119737677,0.0
5,31,27,3.1957670607994872,0.08847771236333053,0.0
6,31,23,2.8764212885319025,0.07714184145040881,0.0
7,31,30,2.5905659301834403,0.10355308667854522,0.0
8,31,27,2.3320860327486956,0.09692451071761417,0.0
9,31,29,2.099989197787881,0.08964399485832449,0.0
10,31,30,1.8917770485138243,0.10754835996635828,0.0
11,31,27,1.7031760392460382,0.08371875182951818,0.0
12,31,27,1.5334351309050311,0.07870449011947228,0.0
13,31,30,1.381878388319259,0.0825995568937113,0.0
14,31,26,1.2441355306475168,0.09103887546672523,0.0
15,31,29,1.1208337458968203,0.09405411486752545,0.0
16,31,27,1.0093270668907335,0.08696630477583395,0.0
17,31,30,0.9101811307063921,0.10544493011710107,0.0
18,31,26,0.819607998795936,0.07955826008564346,0.0
19,31,28,0.7384235198942601,0.08550374078865951,0.0
20,31,26,0.6650261490650158,0.10264635124298316,0.0
21,31,27,0.5991002297421114,0.09720336682052674,0.0
22,31,30,0.5409769772726323,0.10172950907723709,0.0
23,31,30,0.4886660500501005,0.08563598995204384,0.0
24,31,29,0.44091121335914546,0.09500689655172413,0.0
25,31,31,0.40064008413679586,0.10122699386503067,0.0
26,32,32,0.364650733977585,0.12577852043141424,0.0
27,36,36,0.3333611337659468,0.11218962835844908,0.0
28,36,34,0.30156123227158105,0.12058641338013627,0.0
29,36,27,0.2716934568362212,0.10162174129628605,0.0
30,36,28,0.24486914269834034,0.11483409238776839,0.0
31,36,29,0.2207991415462773,0.11270226955487773,0.0
32,36,36,0.2038947005777693,0.11301513877207738,0.0
33,36,32,0.18432016217088618,0.11515151515151516,0.0
34,36,35,0.16833211940279857,0.1418010419250806,0.0
35,36,35,0.15394288091151978,0.13981101271458962,0.0
36,36,30,0.1390590986788626,0.12879586407669527,0.0
37,36,31,0.12578985416323712,0.12191189473136735,0.0
38,36,35,0.11700999537653342,0.17737894592994125,0.0
39,37,37,0.12009136984556193,0.16457047384786747,0.0
40,37,35,0.11913224819278462,0.16536690782674057,0.0
41,37,34,0.11787895605036486,0.1670094217800947,0.0
42,37,36,0.11824163910425745,0.16471466567122392,0.0
43,37,35,0.11763753051041431,0.14333616936089286,0.0
44,37,32,0.11615384550157178,0.1606273134619131,0.0
45,37,35,0.1157843717189303,0.1271551724137931,0.0
46,39,39,0.11993503319444532,0.14661338858467762,0.0
47,39,35,0.11857379372050787,0.16634559815064534,0.0
48,39,33,0.11699241321219418,0.13144262466642248,0.0
49,41,41,0.12168468628880168,0.16015643630466925,0.0
