it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,27,27,4.338454628351733,0.08166356011183597,0.0
2,28,28,3.6887215287362016,0.08674568965517242,0.0
3,31,31,3.1392332915393375,0.08244411995956419,0.0
4,31,27,2.6689249933920274,0.08367056141350812,0.0
5,31,27,2.2691629399668187,0.08994015388999715,0.0
6,31,28,1.9295648199497142,0.10238726790450928,0.0
7,31,30,1.6419168674619908,0.09289232934553132,0.0
8,31,26,1.3960743185028728,0.08212341197822141,0.0
9,31,29,1.1877749390414973,0.10916867147821438,0.0
10,31,28,1.0103850191631931,0.08273567043433358,0.0
11,31,27,0.8594039618723094,0.09295352323838081,0.0
12,31,31,0.7343133597050265,0.08889386475593372,0.0
13,32,32,0.6282410140037431,0.09306457882170026,0.0
14,32,31,0.5359148579599632,0.09788302051505893,0.0
15,32,31,0.4574376253227514,0.09320587231136906,0.0
16,32,27,0.38930256117733536,0.09097347061066623,0.0
17,32,27,0.3313877566537315,0.08326185166123407,0.0
18,32,29,0.28251341939121366,0.0899983395140311,0.0
19,32,28,0.2407574632648658,0.08706043018094912,0.0
20,32,27,0.20512442342813278,0.0917686318131257,0.0
21,32,28,0.17497681669624732,0.08813520871143375,0.0
22,32,32,0.15280495244627942,0.11169196742736504,0.0
23,32,31,0.13179420563611943,0.11047660882934329,0.0
24,33,33,0.11636261422287829,0.11835973904939422,0.0
25,33,33,0.11489016741713091,0.118052738336714,0.0
26,35,35,0.1168930176550911,0.14697406340057637,0.0
27,35,33,0.11525538099539935,0.1415176512783727,0.0
28,36,36,0.11761751485280578,0.15644125988953575,0.0
29,36,34,0.11606944659939447,0.15541525012141816,0.0
30,36,33,0.11436686131115363,0.1749485867329858,0.0
31,36,32,0.1126664356891016,0.17094744808665627,0.0
32,36,28,0.11074085816268726,0.10668452181676152,0.0
33,36,36,0.11392142128960941,0.13468559837728195,0.0
34,36,33,0.11252673876472187,0.1374171334600956,0.0
35,36,34,0.11179104639781026,0.16549803092882528,0.0
36,40,40,0.11602281878719407,0.14952269627897916,0.0
37,40,35,0.11403995721480263,0.13070506349290686,0.0
38,40,35,0.11237588140452488,0.1733564872240139,0.0
39,40,33,0.11070103225857647,0.13268924405159566,0.0
40,40,37,0.11009845492565906,0.15839441192385262,0.0
41,40,33,0.10878002259634487,0.14157635467980295,0.0
42,40,36,0.10813182068872228,0.14996460713924561,0.0
43,40,34,0.10720131472029226,0.1056238442293049,0.0
44,40,37,0.1071225992560744,0.1558289966441321,0.0
45,40,31,0.10612707672379039,0.10263627997618145,0.0
46,40,39,0.10792695284754401,0.15040866663442473,0.0
47,40,39,0.10948635715327891,0.13328621194527188,0.0
48,40,39,0.1108193398305905,0.156209860685703,0.0
49,40,31,0.10929531203205381,0.1252322940326244,0.0
50,40,32,0.10808293281179528,0.15425187838980942,0.0
51,40,38,0.10852588091564946,0.1392303848075962,0.0
52,40,35,0.1077858498861167,0.12640184467037,0.0
53,40,35,0.10714883500796867,0.11494252873563218,0.0
54,40,35,0.10657856273888508,0.12109296229078444,0.0
55,40,34,0.1059432557095673,0.12688416270906464,0.0
56,40,32,0.10517909491746559,0.1267702026849171,0.0
57,40,34,0.10471761170852735,0.12881847364605986,0.0
58,40,29,0.10391614210079854,0.11391165403845163,0.0
59,40,31,0.10332773019477619,0.09688013136288999,0.0
