it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,25,25,3.8431003548895917,0.08507259528130671,0.0
2,28,28,3.077585567823347,0.10053346532475389,0.0
3,31,31,2.4658884463722393,0.08575017127197991,0.0
4,31,28,1.9734870780757126,0.08677780315140443,0.0
5,31,27,1.5793663580441644,0.0799161230195713,0.0
6,31,27,1.26406978201893,0.10192620584684826,0.0
7,31,30,1.013042596119874,0.0871952558752471,0.0
8,31,25,0.8107861499017588,0.08886376483889202,0.0
9,31,31,0.6524489120349712,0.09960499626347817,0.0
10,31,27,0.5225358252115729,0.07758620689655173,0.0
11,31,28,0.4188049811471769,0.09180401642571863,0.0
12,32,32,0.33911864317220997,0.10464483846404873,0.0
13,32,31,0.2732049105945506,0.10355503362869649,0.0
14,35,35,0.22345187537364233,0.09982429167581815,0.0
15,35,28,0.179149660787873,0.11822660098522167,0.0
16,35,32,0.1443383931939159,0.1199356589926611,0.0
17,35,33,0.11691656103252474,0.11197626992955136,0.0
18,35,34,0.10881522733310417,0.1437591063623118,0.0
19,35,34,0.10870348175843239,0.13092275658930475,0.0
20,35,31,0.10719893412026732,0.12264051460508278,0.0
21,35,30,0.10584996134421074,0.10572491532011771,0.0
22,35,32,0.1051970606928521,0.11404237640216036,0.0
23,35,31,0.10447749747519237,0.09106557832195014,0.0
24,35,33,0.10455951601094605,0.09980375665825623,0.0
25,35,34,0.10548761182198985,0.12913338052381435,0.0
26,35,30,0.10456395144847282,0.1155781556226495,0.0
27,35,34,0.10554782480771104,0.10643749332763959,0.0
28,35,34,0.10635818478562645,0.11914102828825109,0.0
29,36,36,0.1099224139574712,0.11154609320534134,0.0
30,40,40,0.11398753811730597,0.13182416425375099,0.0
31,40,37,0.11219355422125933,0.12440635969440429,0.0
32,40,34,0.11007066757540543,0.14927601134497687,0.0
33,40,33,0.10823167029651204,0.11480040505249693,0.0
34,40,29,0.10644319163234955,0.1188914745081447,0.0
35,40,31,0.10508721729911967,0.11497844827586207,0.0
36,40,36,0.10463733472882444,0.13753238987442695,0.0
37,40,33,0.10384722244956081,0.12697295667035288,0.0
38,40,33,0.10324561845712753,0.11933124346917451,0.0
39,40,33,0.10275486862108638,0.1249147115939747,0.0
40,40,32,0.10227290595926433,0.10476040518553509,0.0
41,40,31,0.10181748770557805,0.10002210433244917,0.0
42,40,27,0.10132914915012763,0.0861222416614933,0.0
43,40,30,0.10107187063591812,0.11264029251942512,0.0
44,40,28,0.1008002321569087,0.09418591675036268,0.0
45,40,27,0.10061260178058284,0.09457811287282404,0.0
46,40,30,0.10059548287563388,0.09925584320301856,0.0
47,40,28,0.10052398337866475,0.0840481261873237,0.0
48,40,26,0.10043294397309553,0.09597608900204793,0.0
49,40,28,0.10040516066845485,0.08176680890324069,0.0
