it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,28,28,5.881199142350161,0.08255807475906635,0.0
2,34,34,5.823167325709778,0.0985064792444542,0.0
3,34,29,5.765460011679804,0.09046972576703774,0.0
4,34,28,5.7082472805162565,0.07786056720383527,0.0
5,34,31,5.652088459051972,0.08033103448275862,0.0
6,34,30,5.596269371970756,0.0922468701954755,0.0
7,34,29,5.540852807579897,0.08468061051441492,0.0
8,34,26,5.485740513731242,0.08212954333643989,0.0
9,34,27,5.431243405321053,0.0876912537108929,0.0
10,34,29,5.37748678071975,0.09821038847664776,0.0
11,34,31,5.324664978689724,0.09841390136956639,0.0
12,34,30,5.2721281908199895,0.09995768986672308,0.0
13,34,34,5.222443027739722,0.10067257392975339,0.0
14,34,29,5.170725121844558,0.0967741935483871,0.0
15,34,29,5.119553143803463,0.0911448275862069,0.0
16,34,27,5.068714429202975,0.08366882548573429,0.0
17,34,28,5.018465849344997,0.08053392658509455,0.0
18,34,29,4.968837075008572,0.09808662741799831,0.0
19,34,30,4.91986341246038,0.09169405604144616,0.0
20,34,28,4.871107952266744,0.09296822177146721,0.0
21,34,28,4.822840232696717,0.07774090116442595,0.0
22,34,31,4.775563625477117,0.09293924466338259,0.0
23,34,27,4.728168423962091,0.09057991198261935,0.0
24,34,30,4.6816005365526845,0.09729258593452089,0.0
25,34,31,4.635739529215557,0.09316770186335403,0.0
26,34,26,4.589678661703381,0.08842608398770911,0.0
27,34,31,4.544733542886687,0.09317911577126797,0.0
28,34,28,4.499729819445199,0.09002283995320595,0.0
29,34,27,4.455092955990477,0.09003215434083602,0.0
30,34,27,4.41090246117034,0.0782851817334576,0.0
31,34,31,4.367747194920559,0.0907612231620039,0.0
32,34,27,4.324429623733705,0.08523955843860248,0.0
33,34,27,4.281545762236119,0.07921714818266543,0.0
34,34,30,4.2394450128156524,0.09697924284187433,0.0
35,34,29,4.197606446844521,0.07960257159555816,0.0
36,34,29,4.156186266533105,0.07568820631700957,0.0
37,34,28,4.115068015855153,0.08920420172688776,0.0
38,34,28,4.074360823290423,0.09213532035244208,0.0
39,34,27,4.033977649797266,0.08745784836288481,0.0
40,34,29,3.9941937574563164,0.08940771423960407,0.0
41,34,27,3.9546122546215052,0.09395460497599302,0.0
42,34,30,3.9157808402771823,0.0909688013136289,0.0
43,34,28,3.8770666438617973,0.08941202475685234,0.0
44,34,31,3.839250975451566,0.08956703756747825,0.0
45,34,32,3.8022166851152095,0.10127270749483303,0.0
46,34,27,3.7645549530038025,0.06990382359840489,0.0
47,34,28,3.7273530154611425,0.08931419457735247,0.0
48,34,27,3.690439920046281,0.09143990305166905,0.0
49,34,26,3.653832174952608,0.09142728144929171,0.0
50,34,30,3.618008485536401,0.08068514762226729,0.0
51,34,27,3.5821888354207867,0.10365853658536585,0.0
52,34,28,3.5468105590539585,0.08339759832543792,0.0
53,34,28,3.5117860654507966,0.10008674907829104,0.0
54,34,31,3.4776232028246836,0.09855290763354672,0.0
55,34,30,3.4435616789983277,0.09901095963646084,0.0
56,34,28,3.4095696741957267,0.07971636072511008,0.0
57,34,30,3.3761886856556633,0.10726822217633698,0.0
58,34,30,3.3431415070010013,0.08068737908273586,0.0
59,34,30,3.310424800132883,0.09177470547097746,0.0
60,34,26,3.277617206238348,0.09170258620689656,0.0
61,34,32,3.246198548923946,0.08806707757232494,0.0
62,34,26,3.214033217541492,0.0828279327672847,0.0
63,34,25,3.1821393364701818,0.07703721289097276,0.0
64,34,29,3.150873827262501,0.08342976162925249,0.0
65,34,25,3.1196115400939775,0.09031742406942224,0.0
66,34,30,3.089130132894933,0.09701003928415539,0.0
67,34,31,3.0591938295943786,0.09425658737674782,0.0
68,34,28,3.0290455032858072,0.10913103448275863,0.0
69,34,26,2.9990514227786376,0.08771342484097756,0.0
70,34,28,2.9695045205382287,0.09173191182186684,0.0
71,34,27,2.9401699100725947,0.08678806664083688,0.0
72,34,28,2.9112118229592503,0.09808429118773947,0.0
73,34,27,2.882460139469402,0.07845828329616286,0.0
74,34,30,2.8543502462766077,0.10077053390895678,0.0
75,34,26,2.8261033979206296,0.09165739710789766,0.0
76,34,33,2.80001113365751,0.09506057781919851,0.0
77,34,30,2.772725730522825,0.100663953737417,0.0
78,34,28,2.745442085204979,0.0903203220724663,0.0
79,34,30,2.718702372554824,0.09629147690305791,0.0
80,34,30,2.6922300570311672,0.09928845101258894,0.0
81,34,28,2.665751368448238,0.08598151904439937,0.0
82,34,27,2.6394542895035036,0.0926268573030558,0.0
83,34,30,2.61377445481036,0.10095873722125112,0.0
84,34,27,2.5879971450020065,0.08430362740707568,0.0
85,34,30,2.562831881753877,0.10813371939984207,0.0
86,34,28,2.5376471749237193,0.08091954022988505,0.0
87,34,31,2.5132257012028725,0.09206245933636956,0.0
88,34,28,2.4885370561782265,0.08589851415755537,0.0
89,36,36,2.4688091558753356,0.09732413793103448,0.0
90,36,30,2.444631155693556,0.10003202732998825,0.0
91,36,32,2.42099845152358,0.10138798525265669,0.0
92,36,28,2.3971334985540853,0.10793210206042489,0.0
93,36,28,2.3735071951142874,0.0983536225666327,0.0
94,36,34,2.3513083350453723,0.10009060384799873,0.0
95,36,30,2.3283056881442437,0.08403080013391362,0.0
96,36,30,2.3055331371212975,0.08753315649867374,0.0
97,36,29,2.282894672863649,0.08226680824903594,0.0
98,36,28,2.260410757680751,0.11243917918341442,0.0
99,36,27,2.23809499789574,0.10301858416586099,0.0
