it,max_clique,max_cycle_clique,mean_p,similarity,re_samp_ratio
1,28,28,4.86464264589906,0.09288025889967638,0.0
2,28,28,4.381281414300738,0.08884565499351492,0.0
3,28,26,3.9440432351910286,0.1029874213836478,0.0
4,28,26,3.550528873992291,0.0716974674880219,0.0
5,29,29,3.1988112915352285,0.08625162127107652,0.0
6,31,31,2.88275015449527,0.08561643835616438,0.0
7,31,29,2.595586907359795,0.09645669291338582,0.0
8,34,34,2.340636852270506,0.08117958913187541,0.0
9,34,30,2.1072878752453477,0.0859375,0.0
10,34,24,1.8967652104624237,0.08417338709677419,0.0
11,34,26,1.7073853435229709,0.0912314635718891,0.0
12,34,26,1.536943463277463,0.08561643835616438,0.0
13,34,25,1.383495568053814,0.07759220598469033,0.0
14,34,27,1.2455064459881817,0.08069828722002635,0.0
15,34,33,1.1231245711054525,0.11702127659574468,0.0
16,34,29,1.0113679981519343,0.09026434558349453,0.0
17,34,32,0.9115894177548978,0.08443604284814114,0.0
18,34,26,0.8207271300861961,0.08898578811369509,0.0
19,34,28,0.7390980290649586,0.11004273504273504,0.0
20,34,28,0.6656318381458445,0.09745499689633767,0.0
21,34,30,0.5997833625331523,0.09877734877734878,0.0
22,34,31,0.540760024308229,0.1050394656952034,0.0
23,34,27,0.4870444566171535,0.09396179913739988,0.0
24,34,25,0.4385864620595392,0.08250332005312085,0.0
25,34,28,0.3951714278409668,0.10757287705956907,0.0
26,34,31,0.356609283085261,0.08399079552925706,0.0
27,34,28,0.3213919667641171,0.08349867724867725,0.0
28,34,27,0.2896132048274524,0.06740196078431372,0.0
29,34,28,0.26109549633208917,0.09635416666666667,0.0
30,34,28,0.23542955868626186,0.08848133848133848,0.0
31,34,32,0.21324482223579208,0.10742070616397367,0.0
32,34,29,0.1924762241692405,0.08894389438943895,0.0
33,34,33,0.17539737146840484,0.09649122807017543,0.0
34,34,28,0.15830124630894596,0.10736579275905118,0.0
35,34,24,0.14267724441966328,0.0835048010973937,0.0
36,34,28,0.1288531319650785,0.1042848141146818,0.0
37,34,31,0.11692281679696198,0.11648418491484185,0.0
38,34,29,0.10713943639000113,0.10186859553948162,0.0
39,34,29,0.10627231778182691,0.10322681704260651,0.0
40,34,29,0.10561315098548778,0.08737080103359172,0.0
41,34,29,0.10509579158952866,0.10549483910139648,0.0
42,34,29,0.10470460512168,0.1100187265917603,0.0
43,34,27,0.10420842832792114,0.10709818636647905,0.0
44,34,27,0.1037883062138123,0.10393258426966293,0.0
45,34,34,0.10768025662524364,0.10505896958410925,0.0
46,34,34,0.11119636857533313,0.13216374269005848,0.0
47,34,31,0.11070110101518976,0.1099815157116451,0.0
48,34,32,0.11066720420121624,0.13254247217340362,0.0
49,34,30,0.1099980544142174,0.12408424908424909,0.0
50,34,29,0.10925122784104749,0.09855473554735547,0.0
51,34,31,0.1089889299081525,0.11027679623085984,0.0
52,38,38,0.11361254746006606,0.12492382693479585,0.0
53,38,38,0.11777940683073936,0.1619977362761743,0.0
54,38,37,0.11848032946534885,0.14207175925925927,0.0
55,38,36,0.118102124687554,0.18322109988776655,0.0
56,38,38,0.12181621290572947,0.16569282136894825,0.0
57,38,33,0.12011095045828223,0.1574074074074074,0.0
58,38,35,0.11906390500205837,0.19791666666666666,0.0
59,38,31,0.11736681830454931,0.13605741066198007,0.0
60,38,33,0.11611002439483749,0.16138698630136986,0.0
61,38,38,0.1200265565430458,0.13766842413591096,0.0
62,41,41,0.12451213515312819,0.18528938906752412,0.0
63,41,33,0.12229915471570409,0.13314883148831488,0.0
64,41,41,0.12655835658344183,0.18777593818984548,0.0
65,41,39,0.12568185567322454,0.16182336182336182,0.0
66,42,42,0.12993387519631075,0.19771762208067942,0.0
67,42,37,0.12760739931027032,0.14796819787985865,0.0
68,42,38,0.1257507671100284,0.17174280879864637,0.0
69,42,37,0.12384246193964231,0.15969802555168408,0.0
70,42,30,0.12150166289205876,0.14348691695108076,0.0
71,42,32,0.11950382854191544,0.14953943580886586,0.0
72,43,43,0.12474467026263339,0.1567528735632184,0.0
73,43,33,0.12244062358273747,0.14075382803297998,0.0
74,43,36,0.1206034919810966,0.18474714518760196,0.0
75,43,34,0.11875665233131118,0.1545263788968825,0.0
76,43,42,0.12016799010623912,0.2046831955922865,0.0
77,44,44,0.1256914128381353,0.19258639910813824,0.0
78,44,41,0.12459262891074527,0.2016693591814755,0.0
79,44,44,0.12970132183935415,0.21057489451476794,0.0
80,44,39,0.12756670695695374,0.1814194577352472,0.0
81,44,43,0.1283338478183263,0.18431053203040174,0.0
82,44,36,0.125899405879446,0.14722222222222223,0.0
83,44,42,0.12548930362013622,0.2289348171701113,0.0
84,44,41,0.12445089388953233,0.18187033849684453,0.0
85,44,36,0.12241319925581243,0.18503289473684212,0.0
86,44,38,0.12082389048388102,0.1924731182795699,0.0
87,44,43,0.12227459835230672,0.2248356095093576,0.0
88,44,32,0.12018786051944368,0.20800316957210777,0.0
89,44,44,0.12575576318873613,0.17310855263157895,0.0
90,44,32,0.12333046544497364,0.16723452583759227,0.0
91,44,42,0.12318569045079328,0.23723012111637704,0.0
92,44,42,0.12304955433445817,0.21251306165099268,0.0
93,44,34,0.12099475540562948,0.1637478108581436,0.0
94,44,37,0.11941797504494758,0.15350877192982457,0.0
95,44,38,0.11814172785682281,0.17175467546754675,0.0
96,44,44,0.12394421942938111,0.18218012081274026,0.0
97,44,43,0.12511224103324367,0.25670347003154576,0.0
98,44,41,0.1241402213436464,0.16951566951566951,0.0
99,44,43,0.1252887671465735,0.19398907103825136,0.0
